incident_name,county,fire_danger_score
Post Fire,Los Angeles,80.0
Beale Fire,Yuba,66.66666666666667
Elsmere Fire,Los Angeles,66.66666666666667
Stagecoach Fire,Kern,93.33333333333333
Trimmer Fire,Fresno,73.33333333333333
Pass Fire,San Luis Obispo,66.66666666666667
Fort Fire,Kern,60.0
Texas Fire,Los Angeles,73.33333333333333
Mina Fire,Mendocino,80.0
Duluth Fire,Placer,53.333333333333336
R-1 Fire,Lassen,66.66666666666667
Soda Fire,Kern,66.66666666666667
Lake Fire,Los Angeles,100.0
Carrizo Fire,San Luis Obispo,60.0
Meiss Fire,Sacramento,66.66666666666667
Ranch 2 Fire,Los Angeles,93.33333333333333
Clark Fire,Butte,60.0
Loyalton Fire,Sierra,93.33333333333333
Whale Fire,San Luis Obispo,86.66666666666667
3-2 Fire,San Luis Obispo,46.666666666666664
Elk Fire,Glenn,66.66666666666667
August Complex (includes Doe Fire),Mendocino,100.0
August Complex (includes Doe Fire),Humboldt,100.0
August Complex (includes Doe Fire),Trinity,100.0
August Complex (includes Doe Fire),Tehama,100.0
August Complex (includes Doe Fire),Glenn,100.0
August Complex (includes Doe Fire),Lake,100.0
August Complex (includes Doe Fire),Colusa,100.0
Jones Fire,Nevada,80.0
4-8 Fire,Glenn,80.0
Murphy Fire,El Dorado,60.0
CZU Lightning Complex (Including Warnella Fire) ,Santa Cruz,100.0
CZU Lightning Complex (Including Warnella Fire) ,San Mateo,100.0
SCU Lightning Complex,Santa Clara,100.0
SCU Lightning Complex,Alameda,100.0
SCU Lightning Complex,Contra Costa,100.0
SCU Lightning Complex,San Joaquin,100.0
SCU Lightning Complex,Stanislaus,100.0
3-19 Fire,Mendocino,53.333333333333336
Creek Fire,Mendocino,73.33333333333333
"LNU Lightning Complex (includes Hennessey, Gamble, 15-10, Spanish, Markley, 13-4, 11-16, Walbridge)",Napa,100.0
"LNU Lightning Complex (includes Hennessey, Gamble, 15-10, Spanish, Markley, 13-4, 11-16, Walbridge)",Sonoma,100.0
"LNU Lightning Complex (includes Hennessey, Gamble, 15-10, Spanish, Markley, 13-4, 11-16, Walbridge)",Lake,100.0
"LNU Lightning Complex (includes Hennessey, Gamble, 15-10, Spanish, Markley, 13-4, 11-16, Walbridge)",Yolo,100.0
"LNU Lightning Complex (includes Hennessey, Gamble, 15-10, Spanish, Markley, 13-4, 11-16, Walbridge)",Solano,100.0
Butte/Tehama/Glenn Lightning Complex (Tehama/Glenn Zone) ,Tehama,100.0
Butte/Tehama/Glenn Lightning Complex (Tehama/Glenn Zone) ,Glenn,100.0
Flint Fire,Calaveras,53.333333333333336
Moc Fire,Tuolumne,80.0
Volcano Fire,San Diego,66.66666666666667
Coyote Fire,Santa Clara,66.66666666666667
Sheep Fire ,Plumas,93.33333333333333
Woodward Fire,Marin,93.33333333333333
R-8 Pinecone Fire ,Lassen,80.0
Johnson Fire ,Los Angeles,86.66666666666667
Hensley Fire ,Madera,66.66666666666667
Catholic Fire,Lake,46.666666666666664
El Dorado Fire,San Bernardino,100.0
